"","@ in URLs","Attachments","Css","Encoding","External Resources","Flash content","HTML content","Html Form","Html iFrame","IPs in URLs","Javascript","Phishy","URLs","id"
"0","False","0","0","7bit","0","False","False","False","False","False","0","False","0","1"
"1","False","0","0","7bit","0","False","False","False","False","False","0","False","0","2"
"2","False","0","0","7bit","0","False","False","False","False","False","0","False","0","3"
"3","False","0","0","7bit","0","False","False","False","False","False","0","False","0","4"
"4","False","0","0","quoted-printable","0","False","False","False","False","False","0","False","0","5"
"5","False","0","0","7bit","0","False","False","False","False","False","0","False","0","6"
"6","False","0","0","7bit","0","False","False","False","False","False","0","False","0","7"
"7","False","0","0","none","0","False","False","False","False","False","0","False","0","8"
"8","False","0","0","7bit","0","False","False","False","False","False","0","False","0","9"
"9","False","0","0","7bit","0","False","False","False","False","False","0","False","0","10"
"10","False","0","0","7bit","0","False","False","False","False","False","0","False","0","11"
"11","False","0","0","7bit","0","False","False","False","False","False","0","False","0","12"
"12","False","0","0","7bit","0","False","False","False","False","False","0","False","0","13"
"13","False","0","0","7bit","0","False","False","False","False","False","0","False","0","14"
"14","False","0","0","7bit","0","False","False","False","False","False","0","False","0","15"
"15","False","0","0","none","0","False","False","False","False","False","0","False","0","16"
"16","False","0","0","7bit","0","False","False","False","False","False","0","False","0","17"
"17","False","0","0","7bit","0","False","False","False","False","False","0","False","0","18"
"18","False","0","0","7bit","0","False","False","False","False","False","0","False","0","19"
"19","False","0","0","7bit","0","False","False","False","False","False","0","False","0","20"
"20","False","0","0","7bit","0","False","False","False","False","False","0","False","0","21"
"21","False","0","0","7bit","0","False","False","False","False","False","0","False","0","22"
"22","False","0","0","7bit","0","False","False","False","False","False","0","False","0","23"
"23","False","0","0","7bit","0","False","False","False","False","False","0","False","0","24"
"24","False","0","0","7bit","0","False","False","False","False","False","0","False","0","25"
"25","False","0","0","7bit","0","False","False","False","False","False","0","False","0","26"
"26","False","0","0","7bit","0","False","False","False","False","False","0","False","0","27"
"27","False","0","0","7bit","0","False","False","False","False","False","0","False","0","28"
"28","False","0","0","7bit","0","False","False","False","False","False","0","False","0","29"
"29","False","0","0","none","0","False","False","False","False","False","0","False","0","30"
"30","False","0","0","7bit","0","False","False","False","False","False","0","False","0","31"
"31","False","0","0","7bit","0","False","False","False","False","False","0","False","0","32"
"32","False","0","0","7bit","0","False","False","False","False","False","0","False","0","33"
"33","False","0","0","none","0","False","False","False","False","False","0","False","0","34"
"34","False","0","0","none","0","False","False","False","False","False","0","False","0","35"
"35","False","0","0","7bit","0","False","False","False","False","False","0","False","0","36"
"36","False","0","0","7bit","0","False","False","False","False","False","0","False","0","37"
"37","False","0","0","none","0","False","False","False","False","False","0","False","0","38"
"38","False","0","0","7bit","0","False","False","False","False","False","0","False","0","39"
"39","False","0","0","7bit","0","False","False","False","False","False","0","False","0","40"
"40","False","0","0","none","0","False","False","False","False","False","0","False","0","41"
"41","False","0","0","7bit","0","False","False","False","False","False","0","False","0","42"
"42","False","0","0","7bit","0","False","False","False","False","False","0","False","0","43"
"43","False","0","0","7bit","0","False","False","False","False","False","0","False","0","44"
"44","False","0","0","7bit","0","False","False","False","False","False","0","False","0","45"
"45","False","0","0","7bit","0","False","False","False","False","False","0","False","0","46"
"46","False","0","0","7bit","0","False","False","False","False","False","0","False","0","47"
"47","False","0","0","none","0","False","False","False","False","False","0","False","0","48"
"48","False","0","0","none","0","False","False","False","False","False","0","False","0","49"
