"","@ in URLs","Attachments","Css","Encoding","External Resources","Flash content","HTML content","Html Form","Html iFrame","IPs in URLs","Javascript","Phishy","URLs","id"
"0","False","0","0","none","0","False","True","False","False","True","0","True","2","1"
"1","False","0","0","7bit","0","False","True","False","False","False","0","True","2","2"
"2","False","0","0","7bit","0","False","True","False","False","False","0","True","2","3"
"3","False","0","0","8bit","0","False","True","False","False","True","0","True","3","4"
"4","False","0","0","8bit","0","False","True","False","False","True","0","True","3","5"
"5","False","0","0","none","0","False","True","False","False","False","0","True","3","6"
"6","False","0","0","7bit","0","False","True","False","False","False","0","True","2","7"
"7","False","0","1","8bit","1","False","True","False","False","False","0","True","6","8"
"8","False","0","0","8bit","0","False","True","False","False","False","1","True","14","9"
"9","False","0","0","none","0","False","True","False","False","True","0","True","2","10"
"10","False","0","0","7bit","0","False","True","False","False","False","0","True","13","11"
"11","False","0","0","7bit","0","False","True","False","False","True","0","True","4","12"
"12","False","0","0","7bit","0","False","True","False","False","False","0","True","15","13"
"13","False","0","1","7bit","1","False","True","False","False","True","1","True","24","15"
"14","False","0","0","none","0","False","True","False","False","True","0","True","2","16"
"15","False","0","0","none","0","False","True","False","False","True","0","True","9","17"
"16","False","0","0","8bit","0","False","True","False","False","False","0","True","14","18"
"17","False","0","0","none","0","False","True","False","False","True","0","True","5","19"
"18","False","0","0","none","0","False","True","False","False","True","0","True","5","20"
"19","False","0","0","none","0","False","True","False","False","True","0","True","3","21"
"20","False","0","0","none","0","False","True","False","False","True","0","True","3","22"
"21","False","0","0","8bit","0","False","True","False","False","False","0","True","3","23"
"22","False","0","0","8bit","0","False","True","False","False","False","0","True","5","24"
"23","False","0","0","8bit","0","False","True","False","False","False","0","True","5","25"
"24","False","0","0","8bit","0","False","True","False","False","True","0","True","3","26"
"25","False","0","0","none","0","False","True","False","False","True","0","True","3","27"
"26","False","0","0","none","0","False","True","False","False","True","0","True","2","28"
"27","False","0","0","none","0","False","True","False","False","True","0","True","2","29"
"28","False","0","0","7bit","0","False","True","False","False","False","0","True","3","30"
"29","False","0","0","none","0","False","True","False","False","True","0","True","4","31"
"30","False","0","0","7bit","0","False","True","False","False","True","0","True","2","32"
"31","False","0","0","none","0","False","True","False","False","True","0","True","2","33"
"32","False","0","0","7bit","0","False","True","False","False","True","0","True","22","34"
"33","False","0","0","7bit","0","False","True","False","False","True","0","True","22","35"
"34","False","0","1","7bit","0","False","True","False","False","True","0","True","3","36"
"35","False","0","1","8bit","1","False","True","False","False","False","0","True","6","37"
"36","False","0","0","none","0","False","True","False","False","True","0","True","2","38"
"37","False","0","0","none","0","False","True","False","False","True","0","True","2","39"
"38","False","0","0","7bit","0","False","True","False","False","True","0","True","22","40"
"39","False","0","0","7bit","0","False","True","False","False","False","0","True","1","41"
"40","False","0","0","none","0","False","True","False","False","True","0","True","2","42"
"41","False","1","0","none","0","False","True","False","False","False","0","True","0","43"
"42","False","1","0","none","0","False","True","False","False","False","0","True","0","44"
"43","False","1","0","none","0","False","True","False","False","False","0","True","0","45"
"44","False","0","0","7bit","0","False","True","False","False","True","0","True","2","46"
"45","False","0","0","none","0","False","True","False","False","False","0","True","8","47"
"46","False","0","0","none","0","False","True","False","False","False","0","True","16","48"
"47","False","0","0","none","0","False","True","False","False","True","0","True","2","49"
"48","False","0","0","none","0","False","True","False","False","True","0","True","4","50"
"49","False","0","0","none","0","False","True","False","False","True","0","True","2","51"
"50","False","0","0","none","0","False","True","False","False","False","10","True","21","52"
"51","False","0","0","7bit","0","False","True","False","False","True","0","True","22","53"
"52","False","0","0","none","0","False","True","False","False","False","0","True","1","54"
"53","False","0","1","none","0","False","True","True","False","True","4","True","23","55"
"54","False","0","0","none","0","False","True","False","False","True","0","True","5","56"
"55","False","0","0","8bit","0","False","True","False","False","True","0","True","4","57"
"56","False","0","0","none","0","False","True","False","False","True","0","True","9","58"
"57","False","0","0","7bit","0","False","True","False","False","False","0","True","2","59"
"58","False","0","0","none","0","False","True","False","False","True","0","True","2","60"
"59","False","0","0","none","0","False","True","False","False","False","0","True","2","61"
"60","False","0","1","quoted-printable","0","False","True","False","False","False","0","True","3","62"
"61","False","0","1","quoted-printable","0","False","True","False","False","False","0","True","3","63"
"62","False","0","1","quoted-printable","0","False","True","False","False","False","0","True","3","64"
"63","False","0","1","quoted-printable","0","False","True","False","False","False","0","True","3","65"
"64","False","0","0","none","0","False","True","False","False","True","0","True","8","66"
"65","False","0","0","8bit","0","False","True","False","False","True","1","True","14","67"
"66","False","0","0","none","0","False","True","False","False","True","0","True","13","68"
"67","False","0","0","none","0","False","True","False","False","False","0","True","9","69"
"68","False","0","0","8bit","0","False","True","False","False","False","0","True","11","70"
"69","False","0","0","none","0","False","True","False","False","False","0","True","10","71"
"70","False","0","0","quoted-printable","0","False","True","False","False","True","0","True","4","72"
"71","False","0","0","none","0","False","True","False","False","True","0","True","2","73"
"72","False","0","0","none","0","False","True","False","False","True","0","True","12","74"
"73","False","0","0","none","0","False","True","False","False","True","0","True","12","75"
"74","False","0","0","none","0","False","True","False","False","True","0","True","4","76"
"75","False","0","0","quoted-printable","0","False","True","False","False","False","0","True","3","77"
"76","False","0","0","none","0","False","True","False","False","False","0","True","8","78"
"77","False","0","0","none","0","False","True","False","False","False","0","True","3","79"
"78","False","0","0","none","0","False","True","False","False","False","0","True","24","80"
"79","False","0","0","7bit","0","False","True","False","False","True","0","True","13","81"
"80","False","0","0","7bit","0","False","True","False","False","True","0","True","13","82"
"81","False","0","1","7bit","0","False","True","True","False","False","4","True","13","83"
"82","False","0","0","none","0","False","True","False","False","True","0","True","5","84"
"83","False","0","0","8bit","0","False","True","False","False","False","0","True","12","85"
"84","False","0","0","none","0","False","True","False","False","False","0","True","6","86"
"85","False","0","0","none","0","False","True","False","False","False","0","True","8","87"
"86","False","0","0","8bit","0","False","True","False","False","False","0","True","12","88"
"87","False","0","0","none","0","False","True","False","False","True","0","True","6","89"
"88","False","0","0","none","0","False","True","False","False","True","0","True","6","90"
"89","False","0","0","none","0","False","True","False","False","True","0","True","6","91"
"90","False","0","0","none","0","False","True","False","False","True","0","True","6","92"
"91","False","0","0","none","0","False","True","False","False","True","0","True","6","93"
"92","False","0","0","none","0","False","True","False","False","True","0","True","6","94"
"93","False","0","0","none","0","False","True","False","False","True","0","True","6","95"
"94","False","0","0","none","0","False","True","False","False","True","0","True","6","96"
"95","False","0","0","none","0","False","True","False","False","True","0","True","6","97"
"96","False","0","0","none","0","False","True","False","False","True","0","True","6","98"
"97","False","0","0","none","0","False","True","False","False","True","0","True","6","99"
"98","False","0","0","none","0","False","True","False","False","True","0","True","6","100"
"99","False","0","0","none","0","False","True","False","False","True","0","True","6","101"
"100","False","0","0","none","0","False","True","False","False","True","0","True","6","102"
"101","False","0","0","none","0","False","True","False","False","True","0","True","6","103"
"102","False","0","0","none","0","False","True","False","False","True","0","True","6","104"
"103","False","0","0","none","0","False","True","False","False","True","0","True","6","105"
"104","False","0","0","none","0","False","True","True","False","True","0","True","3","106"
"105","False","0","0","7bit","0","False","True","False","False","False","0","True","2","107"
"106","False","0","0","none","0","False","True","False","False","True","0","True","6","108"
"107","False","0","0","none","0","False","True","False","False","True","0","True","6","109"
"108","False","0","0","none","0","False","True","False","False","True","0","True","6","110"
"109","False","0","0","none","0","False","True","False","False","True","0","True","14","111"
"110","False","0","0","none","0","False","True","False","False","False","0","True","24","112"
"111","False","0","0","none","0","False","True","False","False","False","0","True","5","113"
"112","False","0","0","8bit","0","False","True","False","False","False","0","True","7","114"
"113","False","0","0","none","0","False","True","False","False","True","0","True","13","115"
"114","False","0","0","none","0","False","True","False","False","True","0","True","13","116"
"115","False","0","0","none","0","False","True","False","False","True","0","True","13","117"
"116","False","0","0","none","0","False","True","False","False","False","0","True","5","118"
"117","False","0","0","none","0","False","False","False","False","False","0","True","0","119"
"118","False","0","0","none","0","False","True","False","False","False","0","True","6","120"
"119","False","0","0","none","0","False","True","False","False","False","0","True","6","121"
"120","False","0","0","none","0","False","True","False","False","False","0","True","3","122"
"121","False","0","4","quoted-printable","0","False","True","True","False","False","1","True","12","123"
"122","False","0","4","quoted-printable","0","False","True","True","False","False","1","True","12","124"
"123","False","0","0","none","0","False","True","False","False","False","0","True","1","125"
"124","False","0","0","8bit","0","False","True","False","False","True","0","True","5","126"
"125","False","0","0","none","0","False","False","False","False","True","0","True","1","127"
"126","False","0","0","none","0","False","True","False","False","False","0","True","1","128"
"127","False","0","0","8bit","0","False","True","False","False","False","0","True","12","129"
"128","False","0","0","none","0","False","True","False","False","True","0","True","2","130"
"129","False","0","0","none","0","False","True","False","False","True","0","True","2","131"
"130","False","0","0","8bit","0","False","True","False","False","False","0","True","7","132"
"131","False","0","0","quoted-printable","0","False","True","False","False","False","0","True","8","133"
"132","False","0","0","none","0","False","True","False","False","True","0","True","6","134"
"133","False","0","0","none","0","False","False","False","False","True","0","True","1","135"
"134","False","0","0","none","0","False","True","False","False","False","3","True","13","136"
"135","False","0","0","none","0","False","True","False","False","False","0","True","20","137"
"136","False","0","0","none","0","False","True","False","False","False","0","True","3","138"
"137","False","0","0","8bit","0","False","True","False","False","True","0","True","2","139"
"138","False","0","0","8bit","0","False","True","False","False","True","0","True","2","140"
"139","False","0","0","none","0","False","True","False","False","True","0","True","4","141"
"140","False","0","0","none","0","False","True","False","False","True","0","True","2","142"
"141","False","0","0","none","0","False","True","False","False","True","0","True","2","143"
"142","False","0","0","none","0","False","True","False","False","True","0","True","6","144"
"143","False","0","0","8bit","0","False","True","True","False","True","0","True","14","145"
"144","False","0","0","8bit","0","False","True","False","False","False","0","True","2","146"
"145","False","0","0","none","0","False","True","False","False","True","0","True","23","147"
"146","False","0","0","8bit","0","False","True","False","False","False","0","True","3","148"
"147","False","0","0","none","0","False","True","False","False","True","0","True","2","149"
"148","False","0","0","none","0","False","True","False","False","True","0","True","2","150"
"149","False","0","0","7bit","0","False","True","False","False","True","0","True","19","151"
"150","False","0","0","none","0","False","True","False","False","True","0","True","2","152"
"151","False","0","0","8bit","0","False","True","False","False","False","0","True","2","153"
"152","False","0","0","none","0","False","True","False","False","True","0","True","6","154"
"153","False","0","0","none","0","False","True","False","False","False","0","True","34","155"
"154","False","0","0","7bit","0","False","False","False","False","False","0","True","2","156"
"155","False","2","0","none","0","False","True","False","False","False","0","True","5","157"
"156","False","2","0","none","0","False","True","False","False","False","0","True","5","158"
"157","False","0","0","none","0","False","True","False","False","False","0","True","16","159"
"158","False","0","0","8bit","0","False","True","False","False","False","0","True","1","160"
"159","False","0","0","7bit","0","False","True","False","False","False","0","True","5","161"
"160","False","0","0","none","0","False","True","False","False","False","0","True","3","162"
"161","False","0","0","8bit","0","False","True","False","False","False","0","True","3","163"
"162","False","0","0","none","0","False","True","False","False","False","0","True","3","164"
"163","False","0","0","7bit","0","False","True","False","False","True","0","True","3","165"
"164","False","0","0","none","0","False","True","False","False","True","0","True","2","166"
"165","False","0","0","none","0","False","True","False","False","True","0","True","2","167"
"166","False","0","0","none","0","False","True","False","False","False","0","True","6","168"
"167","False","0","0","8bit","0","False","True","False","False","False","0","True","4","169"
"168","False","0","0","none","0","False","True","False","False","False","0","True","3","170"
"169","False","0","0","none","0","False","True","False","False","True","0","True","2","171"
"170","False","0","0","none","0","False","True","False","False","True","0","True","2","172"
"171","False","0","0","none","0","False","True","False","False","False","0","True","8","173"
"172","False","0","0","none","0","False","True","False","False","False","0","True","1","174"
"173","False","0","0","none","0","False","True","False","False","False","0","True","13","175"
"174","False","0","0","none","0","False","True","False","False","False","0","True","5","176"
"175","False","0","0","none","0","False","True","False","False","True","0","True","14","177"
"176","False","0","0","8bit","0","False","False","False","False","False","0","True","1","178"
"177","False","0","0","8bit","0","False","False","False","False","False","0","True","1","179"
"178","False","0","0","none","0","False","True","False","False","False","0","True","2","180"
"179","False","0","0","none","0","False","True","False","False","False","0","True","2","181"
"180","False","0","0","none","0","False","True","False","False","False","0","True","2","182"
"181","False","0","0","none","0","False","True","False","False","True","0","True","2","183"
"182","False","2","0","none","0","False","True","False","False","False","0","True","1","184"
"183","False","2","0","none","0","False","True","False","False","False","0","True","1","185"
